AccountID,CustomerID,AccountType,OpenDate,ClosedDate,Status,RegistrationID,Balance
1,1,Credit,2023-10-31,2024-10-03,Closed,3,-2781.87
2,2,Checking,2023-11-08,,Open,1,23903.23
3,3,Checking,2020-11-13,,Open,3,42851.83
4,4,Checking,2024-07-01,2024-11-15,Closed,2,41777.99
5,5,Savings,2025-05-19,,Open,2,28041.5
6,5,Checking,2021-08-14,2024-01-07,Closed,2,42042.42
7,6,Checking,2022-11-28,,Open,2,34979.76
8,7,Checking,2023-05-02,2023-06-08,Closed,1,36737.55
9,8,Credit,2023-12-05,2024-12-06,Closed,3,6122.37
10,9,Savings,2024-12-23,,Open,1,9902.01
11,10,Checking,2021-09-10,,Open,3,4903.83
12,11,Checking,2020-11-23,2021-08-03,Closed,3,46007.63
13,11,Credit,2025-05-10,,Open,2,-1539.24
14,11,Savings,2023-07-01,2024-04-06,Closed,1,29261.4
15,12,Savings,2020-07-30,2021-03-02,Closed,3,5750.62
16,12,Savings,2022-03-01,2025-03-19,Closed,1,37621.92
17,13,Checking,2021-06-26,2024-05-03,Closed,3,12823.98
18,14,Savings,2025-02-20,,Open,2,5231.48
19,15,Checking,2024-07-19,,Open,3,5237.31
20,15,Checking,2020-11-27,,Open,3,28195.21
21,16,Checking,2023-03-21,2023-04-29,Closed,2,33965.92
22,16,Checking,2023-03-22,2024-11-20,Closed,1,31753.24
23,16,Credit,2021-08-10,,Open,3,-9805.91
24,17,Checking,2022-11-18,2024-08-10,Closed,1,1773.41
25,17,Checking,2021-10-01,,Open,3,42116.67
26,17,Checking,2021-10-18,2023-07-07,Closed,1,3317.96
27,18,Savings,2023-02-23,,Open,1,11254.53
28,18,Checking,2024-11-22,,Open,2,37944.94
29,18,Checking,2021-01-18,,Open,3,40032.27
30,19,Checking,2021-12-05,2022-06-17,Closed,3,45054.52
31,19,Savings,2021-09-06,,Open,3,33928.57
32,20,Savings,2024-08-19,2025-05-19,Closed,1,45289.04
33,20,Checking,2020-12-09,2025-05-11,Closed,2,41284.83
34,20,Checking,2020-11-29,,Open,1,42565.83
35,21,Savings,2025-04-06,,Open,3,15122.1
36,21,Checking,2023-11-02,2024-03-20,Closed,2,3281.04
37,21,Checking,2023-06-22,2025-03-04,Closed,2,19207.99
38,22,Savings,2021-03-31,,Open,3,11947.59
39,23,Savings,2021-03-24,,Open,1,24066.52
40,23,Checking,2025-04-21,,Open,1,33677.19
41,24,Checking,2022-01-09,,Open,2,30588.54
42,24,Checking,2022-10-20,,Open,1,5074.03
43,25,Savings,2022-04-04,,Open,1,31498.31
44,26,Credit,2022-10-05,2024-02-26,Closed,2,-6100.53
45,26,Savings,2022-09-13,,Open,2,30505.99
46,26,Credit,2022-09-30,2024-12-11,Closed,3,3009.44
47,27,Credit,2024-06-04,2024-10-02,Closed,1,5771.33
48,27,Checking,2024-05-11,2025-07-14,Closed,3,45844.37
49,27,Savings,2021-11-03,,Open,2,1909.22
50,28,Checking,2020-11-13,,Open,3,22773.51
51,28,Savings,2022-01-17,,Open,1,45096.38
52,29,Checking,2024-11-24,,Open,3,47239.16
53,29,Credit,2020-10-29,,Open,3,-5406.9
54,30,Credit,2023-03-26,2023-07-15,Closed,1,142.13
55,30,Savings,2022-03-08,2024-12-09,Closed,2,44592.11
56,30,Savings,2024-06-04,,Open,1,20782.06
57,31,Savings,2022-07-28,,Open,2,39567.14
58,31,Credit,2024-06-11,2024-10-12,Closed,2,-9397.32
59,32,Checking,2023-05-19,,Open,1,17625.15
60,32,Checking,2021-09-09,,Open,1,17272.26
61,32,Savings,2024-08-05,,Open,1,40950.33
62,33,Savings,2025-04-09,,Open,3,161.61
63,33,Credit,2021-01-10,,Open,2,4959.54
64,33,Checking,2025-03-01,,Open,1,46639.4
65,34,Savings,2021-03-30,2024-02-29,Closed,2,5619.55
66,35,Checking,2020-07-24,,Open,1,1396.81
67,35,Checking,2021-03-22,2022-02-08,Closed,2,23668.52
68,35,Checking,2024-03-06,2025-06-20,Closed,1,9202.28
69,36,Credit,2023-07-16,2024-09-30,Closed,1,-6871.94
