TransactionID,AccountID,TransactionDate,TransactionAmount,TransactionType,TransactionChannel,ProductID,Status
1,162,2/24/2023,10000,Credit,Web,1019,Success
2,154,8/31/2022,10000,Credit,Web,1001,Success
3,179,1/3/2020,4883.8,Debit,Web,1024,Success
4,138,11/29/2023,-3911.93,Credit,ATM,1021,Success
5,159,2/18/2024,-2211.72,Credit,Mobile,1001,Success
6,173,3/30/2021,3196.44,Debit,Mobile,1002,Success
7,42,12/16/2025,2747.13,Debit,Mobile,1006,Success
8,66,8/21/2024,7894,Credit,Mobile,1017,Success
9,43,5/24/2021,3875.56,Debit,Web,1003,Success
10,162,3/29/2021,3069.44,Debit,Mobile,1005,Success
11,85,12/6/2024,808.41,Debit,Web,1005,Success
12,172,1/5/2020,648.95,Debit,Mobile,1005,Success
13,164,11/13/2021,-1008.37,Credit,Mobile,1019,Success
14,87,8/9/2020,2672.74,Debit,ATM,1010,Success
15,102,6/13/2024,-1025.75,Credit,Mobile,1015,Success
16,51,12/17/2022,4492.9,Debit,Mobile,1008,Success
17,139,11/8/2024,-4624.55,Credit,Mobile,1012,Success
18,21,6/28/2020,3562.21,Debit,Mobile,1004,Success
19,122,9/8/2020,2393.05,Debit,Web,1016,Success
20,64,3/2/2024,39.59,Debit,Mobile,1005,Success
21,171,10/9/2025,3723.91,Debit,Web,1004,Success
22,6,6/20/2023,779.79,Debit,Mobile,1020,Success
23,20,12/15/2023,189.2,Debit,ATM,1003,Success
24,158,7/31/2022,51.61,Debit,Web,1005,Success
25,99,10/3/2023,45.09,Debit,ATM,1014,Success
26,72,7/20/2024,1522.32,Debit,Mobile,1023,Success
27,8,5/3/2023,3523.65,Debit,ATM,1009,Success
28,101,11/17/2025,2003.65,Debit,Mobile,1000,Success
29,168,12/17/2020,1069.31,Debit,Web,1004,Success
30,158,7/5/2025,1998.83,Debit,Web,1022,Success
31,43,11/26/2024,-3764.04,Credit,Mobile,1025,Success
32,112,3/6/2022,3173.16,Debit,Web,1001,Success
33,73,9/14/2024,930.52,Debit,Mobile,1012,Success
34,117,4/21/2024,4145.96,Debit,Web,1025,Success
35,56,1/27/2022,3818.75,Debit,ATM,1021,Success
36,84,2/14/2024,4730.24,Debit,ATM,1010,Success
37,100,7/21/2025,351.82,Debit,Mobile,1003,Success
38,83,8/5/2025,1428.9,Debit,Web,1004,Success
39,120,6/6/2022,3484.66,Debit,Mobile,1022,Success
40,33,6/2/2023,2230.46,Debit,Mobile,1006,Success
41,88,5/26/2022,-4553.36,Credit,ATM,1017,Failed
42,179,3/13/2024,-2202.84,Credit,Web,1016,Success
43,106,6/6/2022,-492.28,Credit,Web,1017,Success
44,33,9/27/2021,-1198.99,Credit,Mobile,1006,Success
45,90,4/21/2021,4234.24,Debit,Web,1000,Success
46,113,6/12/2024,519.89,Debit,Web,1013,Success
47,99,6/30/2021,1405.27,Debit,Web,1023,Success
48,55,1/21/2024,1611.23,Debit,Mobile,1011,Success
49,94,5/12/2023,-4746.24,Credit,Web,1000,Success
50,32,12/21/2022,846.9,Debit,Web,1017,Success
51,192,8/26/2024,-1549.55,Credit,Mobile,1018,Success
52,52,4/27/2022,-749.18,Credit,Web,1020,Success
53,146,12/27/2022,-4398.52,Credit,Mobile,1010,Success
54,84,12/8/2023,468.65,Debit,ATM,1009,Success
55,49,2/6/2024,-1220.25,Credit,Web,1008,Success
56,147,1/13/2022,3906.79,Debit,Mobile,1013,Success
57,151,4/12/2020,-881.35,Credit,ATM,1016,Success
58,126,1/20/2024,4386.04,Debit,Mobile,1026,Success
59,93,8/10/2023,-4583.78,Credit,Mobile,1014,Success
60,178,12/4/2023,2255.88,Debit,ATM,1001,Success
61,42,7/29/2023,-1019.28,Credit,ATM,1016,Success
62,11,8/24/2022,4891.44,Debit,Mobile,1006,Success
63,138,3/22/2020,-752.1,Credit,Mobile,1012,Success
64,72,6/5/2023,218.03,Debit,ATM,1006,Success
65,29,11/8/2023,-1420.19,Credit,ATM,1025,Success
66,101,2/27/2022,-1785.05,Credit,Web,1017,Success
67,110,4/11/2023,1869.01,Debit,Web,1022,Success
68,41,6/4/2025,3459.21,Debit,Mobile,1021,Success
69,161,10/21/2023,4317.65,Debit,ATM,1002,Success
70,146,6/8/2025,995.43,Debit,Mobile,1014,Success
71,52,11/3/2022,604.01,Debit,Mobile,1013,Success
72,85,5/11/2020,-3008.22,Credit,Mobile,1002,Success
73,107,11/19/2022,-1645.47,Credit,Web,1007,Success
74,22,3/2/2021,1606.84,Debit,Mobile,1005,Success
75,80,3/12/2020,4595.32,Debit,Mobile,1005,Success
76,172,12/26/2024,4111.95,Debit,ATM,1026,Success
77,33,8/27/2022,-500.29,Credit,Web,1000,Success
78,76,8/4/2025,4084.94,Debit,Mobile,1005,Success
79,110,2/21/2020,-2101.53,Credit,Web,1010,Success
80,130,4/7/2024,1306.22,Debit,Web,1021,Success
81,165,12/22/2023,400.5,Debit,Mobile,1021,Success
82,130,3/15/2021,4720.29,Debit,Mobile,1012,Success
83,10,10/29/2025,3192.86,Debit,Web,1014,Success
84,50,6/30/2020,-4313.93,Credit,ATM,1016,Success
85,33,5/30/2025,2961.76,Debit,Mobile,1022,Success
86,191,4/24/2025,-1703.09,Credit,Web,1000,Success
87,53,3/18/2020,-3240.55,Credit,Mobile,1016,Success
88,102,8/10/2024,-4288.35,Credit,ATM,1018,Success
89,120,10/20/2022,-4671.63,Credit,Mobile,1018,Success
90,62,6/27/2021,2555.79,Debit,Mobile,1024,Success
91,170,6/27/2024,2364.54,Debit,Mobile,1007,Success
92,123,7/4/2024,1893.35,Debit,Mobile,1010,Success
93,133,8/5/2021,1931.99,Debit,ATM,1008,Success
94,185,6/29/2024,-1657.63,Credit,Web,1009,Success
95,35,7/2/2021,3782.14,Debit,Mobile,1003,Success
96,63,11/11/2020,251.68,Debit,Mobile,1018,Success
97,13,12/10/2023,-2028.68,Credit,Mobile,1012,Success
98,17,1/22/2025,3757.59,Debit,Web,1026,Success
99,172,2/18/2024,3189.83,Debit,Mobile,1010,Success
100,144,7/31/2021,1016.56,Debit,ATM,1005,Success
101,50,1/14/2025,-4836.82,Credit,Mobile,1014,Success
102,50,8/24/2020,4562.72,Debit,Mobile,1002,Success
103,42,3/24/2025,4241.95,Debit,Mobile,1006,Success
104,46,3/15/2023,-925.95,Credit,ATM,1005,Success
105,115,12/30/2020,-3722.49,Credit,Mobile,1009,Success
106,82,6/17/2020,586.15,Debit,Mobile,1002,Success
107,120,11/15/2020,-2684.46,Credit,Web,1026,Success
108,24,5/31/2023,1053.11,Debit,ATM,1013,Success
109,171,9/13/2025,2388.92,Debit,ATM,1008,Success
110,177,4/2/2025,-1938.58,Credit,Web,1011,Success
111,2,12/27/2025,3936.13,Debit,Mobile,1014,Success
112,39,8/25/2023,-4811.72,Credit,Mobile,1015,Success
113,122,1/6/2022,-3144.46,Credit,ATM,1017,Success
114,179,2/23/2025,3935.86,Debit,ATM,1011,Success
115,100,1/22/2022,-991.35,Credit,ATM,1006,Success
116,154,11/19/2021,1537.25,Debit,Web,1019,Success
117,91,10/10/2024,4391.41,Debit,ATM,1012,Success
118,140,5/24/2021,2770.29,Debit,Mobile,1024,Success
119,98,11/13/2025,-110,Credit,Mobile,1004,Success
120,127,5/23/2025,226.02,Debit,Mobile,1009,Success
121,187,2/18/2021,1752.36,Debit,Mobile,1015,Failed
122,59,9/21/2022,1436.02,Debit,ATM,1009,Success
123,190,12/3/2021,1429.01,Debit,Mobile,1025,Success
124,132,8/8/2023,3258.37,Debit,Mobile,1009,Success
125,153,1/17/2024,-4264.25,Credit,Mobile,1001,Success
126,78,11/18/2023,866.7,Debit,Mobile,1002,Success
127,106,10/19/2022,-3268.6,Credit,Mobile,1025,Failed
128,136,8/29/2020,-3381.22,Credit,Web,1011,Success
129,74,11/4/2021,2663.94,Debit,Mobile,1026,Success
130,192,2/5/2023,-4335.53,Credit,Mobile,1015,Failed
131,159,4/26/2024,-564.76,Credit,Mobile,1016,Success
132,188,5/23/2022,1079.12,Debit,Web,1023,Success
133,77,9/16/2025,3104.82,Debit,ATM,1005,Success
134,188,5/26/2023,2446,Debit,Mobile,1017,Success
135,5,6/14/2021,2135.28,Debit,Mobile,1025,Success
136,166,1/22/2023,4334.78,Debit,Mobile,1014,Success
137,54,3/14/2021,-1486.66,Credit,Mobile,1020,Success
138,87,10/13/2022,-1893.66,Credit,Web,1022,Success
139,189,10/10/2025,-2876.09,Credit,Mobile,1014,Success
140,167,3/9/2021,1765.91,Debit,Web,1020,Success
141,176,4/26/2023,-4023.57,Credit,Mobile,1009,Success
142,23,10/9/2024,-2071.15,Credit,Mobile,1005,Success
143,33,6/12/2025,3342.5,Debit,Mobile,1004,Success
144,85,8/7/2024,-467.6,Credit,Mobile,1009,Success
145,75,3/7/2025,343.07,Debit,Mobile,1010,Success
146,191,5/4/2021,-1346.68,Credit,Mobile,1023,Success
147,102,8/19/2024,4126.34,Debit,Mobile,1011,Success
148,17,10/22/2023,-2912.41,Credit,ATM,1019,Success
149,33,1/30/2020,4404.14,Debit,Mobile,1021,Success
150,120,3/2/2024,2472.92,Debit,Web,1023,Success
151,3,3/5/2020,1886.35,Debit,Mobile,1002,Success
152,167,9/17/2025,1692.65,Debit,Web,1007,Failed
153,63,2/14/2020,-2332.04,Credit,ATM,1011,Success
154,32,5/27/2025,1333.32,Debit,Web,1017,Success
155,48,9/1/2025,3148.99,Debit,ATM,1003,Success
156,183,11/27/2022,-1123.47,Credit,ATM,1025,Success
157,139,3/9/2023,2555.08,Debit,Web,1007,Success
158,34,4/10/2020,-4540.4,Credit,Web,1017,Success
159,187,5/30/2022,3329.69,Debit,ATM,1014,Success
160,119,5/12/2020,168.96,Debit,Mobile,1024,Success
161,134,6/29/2024,4175.01,Debit,Mobile,1018,Success
162,8,6/4/2025,2882.8,Debit,Web,1004,Success
163,74,10/26/2023,-621.47,Credit,Mobile,1024,Success
164,120,4/16/2020,3404.31,Debit,Mobile,1020,Success
165,94,7/19/2025,4723.16,Debit,Web,1018,Success
166,55,11/13/2021,231.05,Debit,Web,1025,Success
167,176,12/27/2022,-359.51,Credit,Mobile,1005,Success
168,64,11/21/2024,-3116.26,Credit,Mobile,1012,Success
169,79,3/24/2023,2245.93,Debit,Web,1002,Success
170,52,4/21/2025,3593.99,Debit,Mobile,1007,Success
171,92,2/26/2023,756.38,Debit,ATM,1019,Success
172,5,3/5/2023,-50.5,Credit,Mobile,1009,Success
173,136,4/14/2023,2269.81,Debit,ATM,1024,Failed
174,60,9/23/2022,4476.41,Debit,Web,1022,Success
175,8,5/19/2023,4857.64,Debit,Mobile,1016,Success
176,131,7/12/2021,4071.32,Debit,ATM,1013,Success
177,185,5/8/2023,2144.93,Debit,Web,1004,Success
178,115,1/4/2025,-884.83,Credit,Mobile,1013,Success
179,114,8/19/2020,1617.4,Debit,Mobile,1025,Success
180,17,2/20/2020,-4627,Credit,Mobile,1021,Success
181,135,4/23/2021,1740.43,Debit,Web,1000,Success
182,94,6/26/2025,3525.29,Debit,Mobile,1024,Success
183,102,8/9/2023,-3211.55,Credit,Web,1026,Success
184,187,7/12/2020,4287.61,Debit,Mobile,1007,Success
185,170,8/2/2025,-4577.42,Credit,Mobile,1011,Success
186,106,7/17/2024,-4594.3,Credit,Mobile,1019,Success
187,73,11/2/2021,1698.45,Debit,Mobile,1013,Success
188,18,6/30/2022,4350.51,Debit,Mobile,1025,Success
189,134,1/1/2020,633.99,Debit,Mobile,1000,Success
190,55,3/25/2021,1794.63,Debit,Mobile,1013,Success
191,56,9/22/2025,3691.78,Debit,Web,1026,Success
192,49,4/25/2025,-1103.04,Credit,Mobile,1015,Failed
193,165,12/27/2023,2048.62,Debit,Mobile,1020,Success
194,151,7/6/2025,1439.8,Debit,Web,1002,Success
195,130,12/1/2025,2404.24,Debit,Web,1011,Success
196,10,1/17/2021,4037.25,Debit,Mobile,1008,Success
197,106,5/31/2021,4267.4,Debit,Mobile,1003,Failed
198,3,5/27/2022,-1983.44,Credit,Mobile,1021,Success
199,77,1/31/2023,-440.31,Credit,Mobile,1022,Success
200,164,8/15/2021,-4707.5,Credit,ATM,1022,Success
201,97,7/2/2025,1299.18,Debit,Web,1019,Success
202,74,5/25/2021,2021.79,Debit,Web,1003,Success
203,174,2/1/2023,3673.4,Debit,Mobile,1005,Failed
204,192,11/3/2022,-1842.87,Credit,Mobile,1005,Success
205,180,9/27/2021,-1224.02,Credit,Web,1003,Success
206,40,12/1/2025,3055.76,Debit,ATM,1009,Success
207,107,10/9/2022,-378.87,Credit,Mobile,1021,Success
208,137,5/26/2020,1275.96,Debit,Web,1008,Success
209,142,7/20/2025,2938.06,Debit,Web,1010,Success
